,time,load,load96
0,1.0,21967.99367,21967.99367
1,2.0,20424.48831,21746.882604833336
2,3.0,18418.125969999997,21412.21878569304
3,4.0,17440.44281,20991.40834556792
4,5.0,17131.936380000003,20511.857417446816
5,6.0,17028.97114,20000.972134318537
6,7.0,17029.165780000003,19486.15862917191
7,8.0,19189.87865,18994.82303499576
8,9.0,21813.4485,18554.371484778894
9,10.0,27832.84693,18190.297692494318
10,11.0,27832.924789999997,17904.65223151574
11,12.0,28038.46598,17683.765307585454
12,13.0,24797.47453,17513.67700539803
13,14.0,26238.03412,17380.659506130763
14,15.0,29479.20075,17276.910339182767
15,16.0,28655.98492,17200.89817280249
16,17.0,26906.82157,17151.392999597643
17,18.0,26546.540559999998,17127.079553681768
18,19.0,24540.178219999998,17120.272293109098
19,20.0,25054.615130000002,17112.613450141493
20,21.0,25775.17715,17084.727126451668
21,22.0,24231.67179,17017.270585363534
22,23.0,23562.88434,16912.35545032949
23,24.0,22945.48219,16830.441884223903
24,,,16841.815724355976
25,,,17016.76280803492
26,,,17401.896784201996
27,,,17935.934765541817
28,,,18526.869818604064
29,,,19082.69278678021
30,,,19531.341104504372
31,,,19956.689264750894
32,,,20515.981834404683
33,,,21366.8909050215
34,,,22650.01069015168
35,,,24258.99700479555
36,,,25901.71527976329
37,,,27281.493856555306
38,,,28109.17890299183
39,,,28335.71340607032
40,,,28196.72539986846
41,,,27944.35958288864
42,,,27829.42791748112
43,,,27957.591356835415
44,,,28160.880377870573
45,,,28241.01188011961
46,,,27999.75075463082
47,,,27332.40335470153
48,,,26423.064976915583
49,,,25511.387095749993
50,,,24837.02118568179
51,,,24597.843400993585
52,,,24774.57581820543
53,,,25277.60226010765
54,,,26017.27046239827
55,,,26901.96942396924
56,,,27822.40728479211
57,,,28659.91313265789
58,,,29295.729939511868
59,,,29617.104672881298
60,,,29614.770556414987
61,,,29366.7387413458
62,,,28953.75319437404
63,,,28456.29822641227
64,,,27944.225439764523
65,,,27473.25425197459
66,,,27098.12672052927
67,,,26873.30502825848
68,,,26805.220388878246
69,,,26798.221414258158
70,,,26743.598884276747
71,,,26532.64684421412
72,,,26101.787189135415
73,,,25545.92154881031
74,,,24994.721548993344
75,,,24577.858815439085
76,,,24403.54494432673
77,,,24452.553828705986
78,,,24658.801387048778
79,,,24956.131110227205
80,,,25278.954347049246
81,,,25567.634834134216
82,,,25766.089302041837
83,,,25818.282033888438
84,,,25671.550672134574
85,,,25343.438948416344
86,,,24917.825519436847
87,,,24481.18738755148
88,,,24119.178453569883
89,,,23872.852410911517
90,,,23716.752489810715
91,,,23619.996202304716
92,,,23551.70106043075
93,,,23480.98457622606
94,,,23376.96426172788
95,,,23208.75762897345
